title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,scraped_date,url
Prime Location House For Grabs In 5 Marla Peshawar,PKR 2.4 Crore,24000000,5,6,5 Marla,1125.0,21333,House,False,41,41VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/warsak_road_green_cottages_prime_location_house_for_grabs_in_5_marla_peshawar-54379520-11933-1.html
Book A Prime Location House Of 7 Marla In Arbab Sabz Ali Khan Town Executive Lodges Peshawar,PKR 3.5 Crore,35000000,6,,7 Marla,1575.0,22222,House,False,41,41VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/arbab_sabz_ali_khan_town_arbab_sabz_ali_khan_town_executive_lodges_book_a_prime_location_house_of_7_marla_in_arbab_sabz_ali_khan_town_executive_lodges_peshawar-54391888-10382-1.html
Prime Location 5 Marla House Situated In Arbab Sabz Ali Khan Town Executive Lodges For Sale,PKR 2.4 Crore,24000000,6,6,5.2 Marla,1170.0,20512,House,False,33,33VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/arbab_sabz_ali_khan_town_arbab_sabz_ali_khan_town_executive_lodges_prime_location_5_marla_house_situated_in_arbab_sabz_ali_khan_town_executive_lodges_for_sale-54406948-10382-1.html
Prime Location House For sale Situated In Sufiyan Garden,PKR 2.4 Crore,24000000,6,6,5 Marla,1125.0,21333,House,False,34,34VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/warsak_road_sufiyan_garden_prime_location_house_for_sale_situated_in_sufiyan_garden-54406949-19313-1.html
Prime 7 Marla House For Sale In Hayatabad Perfectly Located Near CECOS University,PKR 6.2 Crore,62000000,8,7,7 Marla,1575.0,39365,House,False,21,hot21Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/hayatabad_phase_6_hayatabad_phase_6_-_f6_prime_7_marla_house_for_sale_in_hayatabad_perfectly_located_near_cecos_university-54209248-7632-1.html
5 Marla Low Budget House For Sale In HAYATABAD Phase 3,PKR 2.4 Crore,24000000,4,4,5 Marla,1125.0,21333,House,False,1,hot1Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,83,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/hayatabad_hayatabad_phase_3_5_marla_low_budget_house_for_sale_in_hayatabad_phase_3-54383012-7617-1.html
Beautiful House Available For Sale,PKR 4.4 Crore,44000000,9,6,10 Marla,2250.0,19555,House,False,1,hot1Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,83,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/peshawar_ring_road_beautiful_house_available_for_sale-54424980-997-1.html
Prime Location 10 Marla House In Stunning Hayatabad Phase 1 Is Available For sale,PKR 4.5 Crore,45000000,6,6,10 Marla,2250.0,20000,House,False,10,hot10VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,92,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/hayatabad_hayatabad_phase_1_prime_location_10_marla_house_in_stunning_hayatabad_phase_1_is_available_for_sale-54338934-7597-1.html
Prime Location 10 Marla House In Hayatabad Phase 7 For sale,PKR 6.9 Crore,69000000,8,6,10 Marla,2250.0,30666,House,False,34,hot34VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,92,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/hayatabad_hayatabad_phase_7_prime_location_10_marla_house_in_hayatabad_phase_7_for_sale-54338933-8534-1.html
Prime Location House For Sale In Hayatabad Phase 6 Peshawar,PKR 4.1 Crore,41000000,9,6,7 Marla,1575.0,26031,House,False,17,hot17VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,92,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/hayatabad_hayatabad_phase_6_prime_location_house_for_sale_in_hayatabad_phase_6_peshawar-54338932-7627-1.html
Looking For A Prime Location House In Peshawar,PKR 5.2 Crore,52000000,7,,1 Kanal,4500.0,11555,House,False,49,49VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/warsak_road_shaheen_housing_scheme_looking_for_a_prime_location_house_in_peshawar-54426782-11473-1.html
Prime Location House For Sale Is Readily Available In Prime Location Of Sudais Villas,PKR 1.2 Crore,12000000,4,4,3 Marla,675.0,17777,House,False,33,33VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/warsak_road_sudais_villas_prime_location_house_for_sale_is_readily_available_in_prime_location_of_sudais_villas-54445226-18406-1.html
Prime Location House Of 4 Marla Is Available For Sale,PKR 2.6 Crore,26000000,5,5,4 Marla,900.0,28888,House,False,32,32VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/arbab_sabz_ali_khan_town_arbab_sabz_ali_khan_town_executive_lodges_prime_location_house_of_4_marla_is_available_for_sale-54456472-10382-1.html
"Corner In Green Cottages Of Peshawar, A 5 Marla House Is Available",PKR 2.5 Crore,25000000,5,5,5 Marla,1125.0,22222,House,False,35,35VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/warsak_road_green_cottages_corner_in_green_cottages_of_peshawar_a_5_marla_house_is_available-54465274-11933-1.html
Prime Location 5 Marla House Is Available For Sale,PKR 1.6 Crore,16000000,8,,5 Marla,1125.0,14222,House,False,31,31VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/warsak_michini_road_al_massa_town_prime_location_5_marla_house_is_available_for_sale-54465275-16506-1.html
Perfect Prime Location 5 Marla House In Arbab Sabz Ali Khan Town Executive Lodges For sale,PKR 2.85 Crore,28500000,7,,5 Marla,1125.0,25333,House,False,35,35VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/arbab_sabz_ali_khan_town_arbab_sabz_ali_khan_town_executive_lodges_perfect_prime_location_5_marla_house_in_arbab_sabz_ali_khan_town_executive_lodges_for_sale-54487691-10382-1.html
"Prime Location In Sudais Villas Of Peshawar, A 3 Marla House Is Available",PKR 1.4 Crore,14000000,4,4,3.5 Marla,787.5,17777,House,False,26,26VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/warsak_road_sudais_villas_prime_location_in_sudais_villas_of_peshawar_a_3_marla_house_is_available-54487692-18406-1.html
A Prime Location 5 Marla House Located In Sufiyan Garden Is Available For sale,PKR 2.1 Crore,21000000,5,5,5 Marla,1125.0,18666,House,False,29,29VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/warsak_road_sufiyan_garden_a_prime_location_5_marla_house_located_in_sufiyan_garden_is_available_for_sale-54507836-19313-1.html
Prominently-Located Prime Location 5 Marla House Available In Arbab Sabz Ali Khan Town Executive Lodges,PKR 2.2 Crore,22000000,6,6,5 Marla,1125.0,19555,House,False,39,39VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/arbab_sabz_ali_khan_town_arbab_sabz_ali_khan_town_executive_lodges_prominently-located_prime_location_5_marla_house_available_in_arbab_sabz_ali_khan_town_executive_lodges-54513255-10382-1.html
A Prime Location House At Affordable Price Awaits You,PKR 1.9 Crore,19000000,6,6,5 Marla,1125.0,16888,House,False,40,40VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/warsak_road_sudais_villas_a_prime_location_house_at_affordable_price_awaits_you-54513256-18406-1.html
Ideal House For Sale In Askari 5,PKR 6.8 Crore,68000000,4,4,10 Marla,2250.0,30222,House,False,5,5Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/peshawar_askari_5_ideal_house_for_sale_in_askari_5-52531671-8564-1.html
5 Marla House For Sale,PKR 3.85 Crore,38500000,8,6,5 Marla,1125.0,34222,House,False,1,1Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/hayatabad_phase_7_hayatabad_phase_7_-_e5_5_marla_house_for_sale-54362539-13218-1.html
10 Marla Old House For Sale,PKR 2.89 Crore,28900000,5,5,10 Marla,2250.0,12844,House,False,1,1Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/hayatabad_phase_1_hayatabad_phase_1_-_e3_10_marla_old_house_for_sale-54250341-7600-1.html
"5 Marla House Available for Sale Phase 1, Sector D4, Hayatabad, Peshawar",PKR 3.4 Crore,34000000,8,,5 Marla,1125.0,30222,House,False,1,1Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/hayatabad_phase_1_hayatabad_phase_1_-_d4_5_marla_house_available_for_sale_phase_1_sector_d4_hayatabad_peshawar-54519832-15037-1.html
"5 Marla House Available For Sale Phase 1, Sector D4, Hayatabad, Peshawar",PKR 2.8 Crore,28000000,6,6,5 Marla,1125.0,24888,House,False,1,1Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/hayatabad_hayatabad_phase_1_5_marla_house_available_for_sale_phase_1_sector_d4_hayatabad_peshawar-54519794-7597-1.html
"5 Marla House Available for Sale Phase 1, Sector D4, Hayatabad, Peshawar",PKR 2.35 Crore,23500000,6,4,5 Marla,1125.0,20888,House,False,1,1Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Houses_Peshawar,2026-07-29,https://www.zameen.com/Property/hayatabad_hayatabad_phase_1_5_marla_house_available_for_sale_phase_1_sector_d4_hayatabad_peshawar-54519785-7597-1.html
