title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,listing_mode,scraped_date,url
"5 Marla Designer House DHA Phase 5 ,Islamabad",PKR 3.75 Crore,37500000,3,4,5 Marla,1125.0,33333,House,False,44,hot44Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_5_marla_designer_house_dha_phase_5_islamabad-54456167-10991-1.html
"10 Marla Designer House DHA Phase 5 ,Islamabad",PKR 6.85 Crore,68500000,5,7,10 Marla,2250.0,30444,House,False,49,hot49Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/dha_defence_dha_defence_phase_5_10_marla_designer_house_dha_phase_5_islamabad-54460755-10991-1.html
1.5 Storey Brand New House For Sale,PKR 1.4 Crore,14000000,3,4,5 Marla,1125.0,12444,House,False,28,hot28Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_bani_gala_1_5_storey_brand_new_house_for_sale-53798942-340-1.html
10 Marla Beautiful House For Sale In DHA Phase-2 Islamabad,PKR 7.25 Crore,72500000,5,5,10 Marla,2250.0,32222,House,False,31,hot31VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,92,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_10_marla_beautiful_house_for_sale_in_dha_phase-2_islamabad-54321074-339-1.html
1 Kanal Modern & Designer House is available for sale at DHA-2 Islamabad.,PKR 14.5 Crore,145000000,6,6,1 Kanal,4500.0,32222,House,False,16,hot16Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,84,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_modern_designer_house_is_available_for_sale_at_dha-2_islamabad-54378266-339-1.html
1 Kanal Brand New Designer Luxury House For Sale DHA Phase 2 Islamabad,PKR 10 Crore,100000000,6,6,1 Kanal,4500.0,22222,House,False,25,25Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_designer_luxury_house_for_sale_dha_phase_2_islamabad-53529650-339-1.html
8 Marla Designer Luxury White House Triple Storey Available For Sale,PKR 9.25 Crore,92500000,7,7,8 Marla,1800.0,51388,House,True,39,39VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/d_12_d-12_1_8_marla_designer_luxury_white_house_triple_storey_available_for_sale-54313030-3154-1.html
5 Marla House For Sale In D-12,PKR 7.5 Crore,75000000,5,5,5 Marla,1125.0,66666,House,True,13,131VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,90,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/islamabad_d-12_5_marla_house_for_sale_in_d-12-54313034-160-1.html
House Available In D-12 For Sale,PKR 5.7 Crore,57000000,3,4,4 Marla,900.0,63333,House,True,23,23Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/d_12_d-12_4_house_available_in_d-12_for_sale-54462550-3157-1.html
"Luxury 4.44 Marla Single Unit House For Sale CDA Sector D-12/1, Islamabad",PKR 5.3 Crore,53000000,3,4,4.4 Marla,990.0000000000001,53535,House,True,25,25Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Houses_Islamabad,for_sale,2026-07-26,https://www.zameen.com/Property/d_12_d-12_1_luxury_4_44_marla_single_unit_house_for_sale_cda_sector_d-12_1_islamabad-54464176-3154-1.html
